guojing,12341,7,1377660105,192.168.1.34|guojing,12341,8,1377666173,192.168.1.34
huangr,12348,7,1377537895,192.168.1.38|huangr,12348,8,1377541495,192.168.1.38
lidz,12313,7,1377679344,192.168.25.17|lidz,12313,8,1377679348,192.168.25.17
tongxy,15332,7,1376446317,192.168.1.65|tongxy,15332,8,1377667317,192.168.1.65
lidz,441232,7,1375334515,192.168.1.61|lidz,441232,8,1377679349,192.168.1.61
luxiucai,12311,7,1377679341,192.168.25.16|luxiucai,12311,8,1377679346,192.168.25.16
moxb,23123,7,1377441617,192.168.1.69|moxb,23123,8,1377679349,192.168.1.69
luxiucai,21356,7,1377663394,192.168.1.62|luxiucai,21356,8,1377679343,192.168.1.62
luwsh,12356,7,1377645205,192.168.1.45|luwsh,12356,8,1377674473,192.168.1.45
baizt,16321,7,1376331705,192.168.1.78|baizt,16321,8,1377798173,192.168.1.78
luwsh,12330,7,1377679358,192.168.25.12|luwsh,12330,8,1377679365,192.168.25.12
luwsh,12321,7,1377679353,192.168.25.12|luwsh,12321,8,1377679356,192.168.25.12
baizt,12323,7,1377679358,192.168.25.14|baizt,12323,8,1377679365,192.168.25.14
luwsh,12348,7,1377679366,192.168.25.12|luwsh,12348,8,1377679369,192.168.25.12
moxb,12339,7,1377679361,192.168.25.15|moxb,12339,8,1377679370,192.168.25.15
baizt,12357,7,1377679392,192.168.25.14|baizt,12357,8,1377679395,192.168.25.14
lidz,12351,7,1377679377,192.168.25.17|lidz,12351,8,1377679380,192.168.25.17
xingbt,12352,7,1377679385,192.168.25.19|xingbt,12352,8,1377679389,192.168.25.19
baizt,12351,7,1377679367,192.168.25.14|baizt,12351,8,1377679377,192.168.25.14
